證券代碼,股票簡稱,上市板,所屬行業,最近收盤股價,流通股份,市值(百萬),Q4sales,Q3sales,Q4NI,Q3NI,corr,corr1,predict112Sales,predict112NI,predict112EPS,Div,EPS,corr,predict112Div,預估年度殖利率(%),預估配發股利總金額(百萬),預估殖利率5%股價
1101.TW,台泥,上市,水泥工業,33.85,7531180032,254930.4440832,"[122783014.0, 114367247.0, 107041452.0, 113929706.0]","[87561878.0, 82248488.0, 76904796.0, 79274330.0]","[24211081.0, 25099309.0, 20256366.0, 5404984.0]","[17719524.0, 18407237.0, 14836550.0, 2917831.0]",0.9639785392009429,0.9998693802054464,113812817.48727447,9515862.010728277,1.2635286861149726,"[2.5, 3.5, 1.0, 0.5]","[4.43, 4.32, 3.3, 0.74]",0.8303110591246492,0.5861604006092471,1.732%,4414.479504617482,11.723208012184942
1102.TW,亞泥,上市,水泥工業,44.4,3546560000,157467.264,"[89347637.0, 78240880.0, 89654713.0, 90340503.0]","[66206883.0, 54564173.0, 61810729.0, 66093948.0]","[17459673.0, 14710486.0, 15068221.0, 12016396.0]","[13458582.0, 10340758.0, 11070037.0, 11407298.0]",0.9301091452369933,0.6103570558070676,84996651.11667001,12765010.376164982,3.599265309529511,"[3.0, 3.55, 3.4, 2.3]","[5.56, 4.7, 4.7, 3.63]",0.5752563639098236,2.2805262276416016,5.136%,8088.023097904598,45.61052455283203
1103.TW,嘉泥,上市,水泥工業,18.65,662876032,12362.6379968,"[1884002.0, 2058417.0, 2220254.0, 2253659.0]","[1362993.0, 1481489.0, 1655232.0, 1593823.0]","[1297473.0, 1764366.0, 657848.0, -180762.0]","[1485119.0, 525249.0, 597030.0, -215386.0]",0.9612357678314901,0.664180855117469,2853187.0373062333,512793.3318953833,0.7735885854074496,"[1.0, 1.4, 0.65, 0.3]","[2.02, 2.74, 1.02, -0.28]",0.9873451042273628,0.623703929701587,3.344%,413.4383860633949,12.474078594031738
1104.TW,環泥,上市,水泥工業,35.8,673217024,24101.1694592,"[5005731.0, 5426217.0, 6079107.0, 7055789.0]","[3551356.0, 3886551.0, 4358224.0, 5063948.0]","[1135477.0, 1247252.0, 1088078.0, 2041395.0]","[699299.0, 871810.0, 726040.0, 1435977.0]",0.9998391043207853,0.9942409544624812,7815428.457518843,2301950.2140115416,3.4193285849104456,"[1.0, 1.1, 1.0, 1.5]","[1.74, 1.91, 1.66, 3.12]",0.9974148078438617,1.6060314450482729,4.486%,1081.2077098858178,32.12062890096546
1108.TW,幸福,上市,水泥工業,16.6,404737984,6718.650534400001,"[3731696.0, 4530172.0, 3769022.0, 4149253.0]","[2660105.0, 3358346.0, 2905016.0, 2946179.0]","[45905.0, 392269.0, 262205.0, 581216.0]","[-899.0, 326995.0, 169008.0, 304720.0]",0.9251526138673385,0.9160237541993402,4909325.1795924995,687052.2461062581,1.69752351710646,"[0.15, 0.7, 0.6, 0.8]","[0.11, 0.97, 0.65, 1.44]",0.944789475110056,1.001427349523947,6.033%,405.3156865687857,20.028546990478937
1109.TW,信大,上市,水泥工業,19.9,341159008,6789.0642591999995,"[7822895.0, 7593294.0, 7378229.0, 6388338.0]","[5620429.0, 5213429.0, 5158109.0, 4675441.0]","[963670.0, 1004034.0, 862861.0, 399166.0]","[640589.0, 588673.0, 551020.0, 282240.0]",0.9519745976329284,0.9814656919992997,6455252.456675811,717361.6216677384,2.1027192741389915,"[1.1, 1.5, 1.5, 0.8]","[2.82, 2.94, 2.52, 1.17]",0.7838131833359105,1.1399046512219773,5.728%,388.8887400254757,22.798093024439545
1110.TW,東泥,上市,水泥工業,21.05,569886976,11996.120844800002,"[1584940.0, 1590986.0, 1846785.0, 1794015.0]","[1138816.0, 1137023.0, 1343659.0, 1231013.0]","[33133.0, 22158.0, 139985.0, 149043.0]","[38890.0, 5382.0, 120973.0, 41144.0]",0.9455314154651797,0.6730833360614559,2268084.5045426926,184238.47187256409,0.32328949358646875,"[0.1, 0.1, 0.2, 0.1]","[0.06, 0.04, 0.25, 0.26]",0.5475605812906217,0.1243421130422147,0.591%,70.8609507910779,2.486842260844294
1201.TW,味全,上市,食品工業,18.6,506063008,9412.7719488,"[20228119.0, 18650871.0, 19817862.0, 19972832.0]","[15431845.0, 13942049.0, 14855873.0, 15214414.0]","[1349985.0, 535196.0, 507002.0, 240283.0]","[1291702.0, 323356.0, 386089.0, 326522.0]",0.988746432053785,0.9655766537794152,20854365.02441904,310135.737495245,0.6128401653401329,"[1.3339, 0.53, 0.501, 0.238]","[2.67, 1.06, 1.0, 0.47]",0.9999982919391969,0.30823328411826184,1.657%,155.9854629266062,6.164665682365237
1203.TW,味王,上市,食品工業,52.2,237706000,12408.2532,"[6323237.0, 6043700.0, 5824838.0, 6385557.0]","[4703855.0, 4549315.0, 4459757.0, 4705786.0]","[456880.0, 429096.0, 447878.0, 625396.0]","[346651.0, 354278.0, 361253.0, 537871.0]",0.994722018858635,0.987007892207073,6414653.37794587,413506.7439821523,1.7395721773205235,"[1.0, 1.1, 1.1, 1.1]","[1.92, 1.81, 1.88, 2.63]",0.24387505350806685,0.7275777174974496,1.394%,172.94958891544874,14.551554349948992
1210.TW,大成,上市,食品工業,57.1,836707008,47775.9701568,"[77769986.0, 81650892.0, 101437842.0, 113297286.0]","[56773250.0, 58252672.0, 75779978.0, 82816416.0]","[2283601.0, 3122071.0, 1869385.0, 2193061.0]","[1808402.0, 2296369.0, 1483539.0, 1591835.0]",0.9964278108695973,0.983477339313039,112422761.1307814,4290325.440442689,5.127631774828745,"[2.2, 2.7, 1.5, 1.5]","[2.93, 3.99, 2.32, 2.59]",0.9488547935874253,3.620874139899807,6.341%,3029.6107679401407,72.41748279799613
